id,text,vertical_id,query_type,complexity,status,search_context_size,prompt_tokens,completion_tokens,total_tokens,request_cost,total_cost,processed_at,error_message,retry_count,created_at,updated_at,vertical_name,vertical_category,response_content_length
1095,real estate investing comparison: which is better?,5,comparison,medium,completed,low,9.0,437.0,446.0,0.005,0.005446,2025-08-07 04:14:34.498276,,0,2025-08-07 00:33:34,2025-08-07 04:14:34,investing,Finance,2361.0
1096,Step-by-step index funds guide,5,guide,simple,completed,low,6.0,452.0,458.0,0.005,0.005458,2025-08-07 04:14:41.290796,,0,2025-08-07 00:33:34,2025-08-07 04:14:41,investing,Finance,2080.0
1097,index funds guide for beginners,5,guide,medium,completed,low,5.0,754.0,759.0,0.005,0.005759,2025-08-07 04:14:49.618217,,0,2025-08-07 00:33:34,2025-08-07 04:14:49,investing,Finance,3478.0
1098,Ultimate dividend investing tutorial,5,guide,medium,completed,low,5.0,595.0,600.0,0.005,0.0056,2025-08-07 04:14:56.033269,,0,2025-08-07 00:33:34,2025-08-07 04:14:56,investing,Finance,3024.0
1099,{product_a} vs {product_b} comparison,5,comparison,simple,completed,low,10.0,514.0,524.0,0.005,0.005524,2025-08-07 04:15:03.799143,,0,2025-08-07 00:33:34,2025-08-07 04:15:03,investing,Finance,2745.0
1100,How to use with portfolio?,5,how_to,simple,completed,low,6.0,459.0,465.0,0.005,0.005465,2025-08-07 04:15:08.484304,,0,2025-08-07 00:33:34,2025-08-07 04:15:08,investing,Finance,2192.0
1101,index funds review: is it worth it?,5,review,complex,completed,low,9.0,651.0,660.0,0.005,0.00566,2025-08-07 04:15:15.855928,,0,2025-08-07 00:33:34,2025-08-07 04:15:15,investing,Finance,2929.0
1102,Complete guide to mutual funds,5,guide,simple,completed,low,5.0,587.0,592.0,0.005,0.005592,2025-08-07 04:15:23.557719,,0,2025-08-07 00:33:34,2025-08-07 04:15:23,investing,Finance,2761.0
1103,How to automate with index funds?,5,how_to,medium,completed,low,7.0,474.0,481.0,0.005,0.005481,2025-08-07 04:15:30.999803,,0,2025-08-07 00:33:34,2025-08-07 04:15:31,investing,Finance,2237.0
1104,How to optimize dividend investing for retention?,5,how_to,medium,completed,low,8.0,367.0,375.0,0.005,0.005375,2025-08-07 04:15:39.271917,,0,2025-08-07 00:33:34,2025-08-07 04:15:39,investing,Finance,2016.0
1105,growth investing vs real estate investing comparison,5,comparison,medium,completed,low,7.0,595.0,602.0,0.005,0.005602,2025-08-07 04:15:46.239659,,0,2025-08-07 00:33:34,2025-08-07 04:15:46,investing,Finance,3125.0
1106,{service} pros and cons,5,review,medium,completed,low,6.0,397.0,403.0,0.005,0.005403,2025-08-07 04:15:51.770341,,0,2025-08-07 00:33:34,2025-08-07 04:15:51,investing,Finance,2025.0
1107,index funds reviews and ratings,5,review,medium,completed,low,5.0,676.0,681.0,0.005,0.005681,2025-08-07 04:15:58.468079,,0,2025-08-07 00:33:34,2025-08-07 04:15:58,investing,Finance,2479.0
1108,How to choose the right dividend investing?,5,how_to,medium,completed,low,8.0,441.0,449.0,0.005,0.005449,2025-08-07 04:16:03.616967,,0,2025-08-07 00:33:34,2025-08-07 04:16:03,investing,Finance,2349.0
1109,{product} review: is it worth it?,5,review,simple,completed,low,10.0,232.0,242.0,0.005,0.005242,2025-08-07 04:16:07.714830,,0,2025-08-07 00:33:34,2025-08-07 04:16:07,investing,Finance,1344.0
1110,Best retirement tools for beginners,5,best,simple,completed,low,5.0,279.0,284.0,0.005,0.005284,2025-08-07 04:16:19.957766,,0,2025-08-07 00:33:34,2025-08-07 04:16:19,investing,Finance,1535.0
1111,What's the best growth investing software?,5,best,simple,completed,low,8.0,346.0,354.0,0.005,0.005354,2025-08-07 04:16:25.941678,,0,2025-08-07 00:33:34,2025-08-07 04:16:25,investing,Finance,1697.0
1112,{service} pros and cons,5,review,simple,completed,low,6.0,604.0,610.0,0.005,0.00561,2025-08-07 04:16:38.136816,,0,2025-08-07 00:33:34,2025-08-07 04:16:38,investing,Finance,2884.0
1113,Top 10 investment in 2024,5,best,simple,completed,low,8.0,505.0,513.0,0.005,0.005513,2025-08-07 04:16:44.758329,,0,2025-08-07 00:33:34,2025-08-07 04:16:44,investing,Finance,2293.0
1114,Top 10 growth investing in 2024,5,best,simple,completed,low,9.0,515.0,524.0,0.005,0.005524,2025-08-07 04:17:04.701364,,0,2025-08-07 00:33:34,2025-08-07 04:17:04,investing,Finance,2257.0
1115,real estate investing guide for beginners,5,guide,simple,completed,low,6.0,557.0,563.0,0.005,0.005563,2025-08-07 04:17:12.604204,,0,2025-08-07 00:33:34,2025-08-07 04:17:12,investing,Finance,2810.0
1116,Which index funds is the best for security?,5,best,medium,completed,low,9.0,463.0,472.0,0.005,0.005472,2025-08-07 04:17:17.728852,,0,2025-08-07 00:33:34,2025-08-07 04:17:17,investing,Finance,2039.0
1117,User reviews of retirement,5,review,complex,completed,low,4.0,326.0,330.0,0.005,0.00533,2025-08-07 04:17:23.353375,,0,2025-08-07 00:33:34,2025-08-07 04:17:23,investing,Finance,1736.0
1118,In-depth {product} analysis,5,review,medium,completed,low,6.0,569.0,575.0,0.005,0.005575,2025-08-07 04:17:29.790103,,0,2025-08-07 00:33:34,2025-08-07 04:17:29,investing,Finance,2845.0
1119,Best dividend investing tools for enterprises,5,best,medium,completed,low,6.0,322.0,328.0,0.005,0.005328,2025-08-07 04:17:34.526757,,0,2025-08-07 00:33:34,2025-08-07 04:17:34,investing,Finance,1883.0
1120,dividend investing comparison: which is better?,5,comparison,medium,completed,low,9.0,391.0,400.0,0.005,0.0054,2025-08-07 04:17:40.321528,,0,2025-08-07 00:33:34,2025-08-07 04:17:40,investing,Finance,2088.0
1121,Difference between real estate investing and real estate investing,5,comparison,complex,completed,low,9.0,558.0,567.0,0.005,0.005567,2025-08-07 04:17:57.179085,,0,2025-08-07 00:33:34,2025-08-07 04:17:57,investing,Finance,2752.0
1122,Best growth investing platforms for small business,5,best,complex,completed,low,7.0,451.0,458.0,0.005,0.005458,2025-08-07 04:18:08.588235,,0,2025-08-07 00:33:34,2025-08-07 04:18:08,investing,Finance,2352.0
1123,Honest review of {service},5,review,medium,completed,low,7.0,286.0,293.0,0.005,0.005293,2025-08-07 04:18:12.827652,,0,2025-08-07 00:33:34,2025-08-07 04:18:12,investing,Finance,1605.0
1124,index funds best practices guide,5,guide,medium,completed,low,5.0,176.0,181.0,0.005,0.005181,2025-08-07 04:18:16.789644,,0,2025-08-07 00:33:34,2025-08-07 04:18:16,investing,Finance,917.0
1125,retirement best practices guide,5,guide,simple,completed,low,5.0,460.0,465.0,0.005,0.005465,2025-08-07 04:18:22.327014,,0,2025-08-07 00:33:34,2025-08-07 04:18:22,investing,Finance,2156.0
1126,real estate investing alternatives comparison,5,comparison,complex,completed,low,5.0,600.0,605.0,0.005,0.005605,2025-08-07 04:18:28.076180,,0,2025-08-07 00:33:34,2025-08-07 04:18:28,investing,Finance,2926.0
1127,How to get started with ETF?,5,how_to,simple,completed,low,7.0,430.0,437.0,0.005,0.005437,2025-08-07 04:18:34.733478,,0,2025-08-07 00:33:34,2025-08-07 04:18:34,investing,Finance,2075.0
1128,index funds guide for beginners,5,guide,simple,completed,low,5.0,690.0,695.0,0.005,0.005695,2025-08-07 04:18:42.656445,,0,2025-08-07 00:33:34,2025-08-07 04:18:42,investing,Finance,3003.0
1129,How to scale with index funds?,5,how_to,medium,completed,low,7.0,462.0,469.0,0.005,0.005469,2025-08-07 04:18:49.395077,,0,2025-08-07 00:33:34,2025-08-07 04:18:49,investing,Finance,2197.0
1130,User reviews of mutual funds,5,review,complex,completed,low,5.0,385.0,390.0,0.005,0.00539,2025-08-07 04:19:00.053309,,0,2025-08-07 00:33:34,2025-08-07 04:19:00,investing,Finance,2201.0
1131,Difference between {concept_a} and {concept_b},5,comparison,medium,completed,low,11.0,383.0,394.0,0.005,0.005394,2025-08-07 04:19:06.308927,,0,2025-08-07 00:33:34,2025-08-07 04:19:06,investing,Finance,2062.0
1132,Ultimate growth investing tutorial,5,guide,simple,completed,low,5.0,550.0,555.0,0.005,0.005555,2025-08-07 04:19:24.501324,,0,2025-08-07 00:33:34,2025-08-07 04:19:24,investing,Finance,2812.0
1133,dividend investing alternatives comparison,5,comparison,medium,completed,low,5.0,536.0,541.0,0.005,0.005541,2025-08-07 04:19:35.578718,,0,2025-08-07 00:33:34,2025-08-07 04:19:35,investing,Finance,2799.0
1134,{service_a} or {service_b}: which to choose?,5,comparison,simple,completed,low,13.0,359.0,372.0,0.005,0.005372,2025-08-07 04:19:40.679968,,0,2025-08-07 00:33:34,2025-08-07 04:19:40,investing,Finance,1600.0
1135,dividend investing reviews and ratings,5,review,complex,completed,low,6.0,354.0,360.0,0.005,0.00536,2025-08-07 04:19:46.386801,,0,2025-08-07 00:33:34,2025-08-07 04:19:46,investing,Finance,1834.0
1136,portfolio alternatives comparison,5,comparison,simple,completed,low,3.0,477.0,480.0,0.005,0.00548,2025-08-07 04:19:53.413324,,0,2025-08-07 00:33:34,2025-08-07 04:19:53,investing,Finance,2465.0
1137,How to optimize with growth investing?,5,how_to,medium,completed,low,7.0,376.0,383.0,0.005,0.005383,2025-08-07 04:19:58.913996,,0,2025-08-07 00:33:34,2025-08-07 04:19:58,investing,Finance,2266.0
1138,How does real estate investing work for enterprise solutions?,5,how_to,medium,completed,low,10.0,304.0,314.0,0.005,0.005314,2025-08-07 04:20:03.216020,,0,2025-08-07 00:33:34,2025-08-07 04:20:03,investing,Finance,1937.0
1139,What are the best index funds for enterprise solutions?,5,best,medium,completed,low,10.0,515.0,525.0,0.005,0.005525,2025-08-07 04:20:09.623839,,0,2025-08-07 00:33:34,2025-08-07 04:20:09,investing,Finance,2238.0
1140,How to choose the right investment?,5,how_to,simple,completed,low,7.0,372.0,379.0,0.005,0.005379,2025-08-07 04:20:15.216615,,0,2025-08-07 00:33:34,2025-08-07 04:20:15,investing,Finance,1981.0
1141,Complete guide to real estate investing,5,guide,simple,completed,low,6.0,521.0,527.0,0.005,0.005527,2025-08-07 04:20:23.369953,,0,2025-08-07 00:33:34,2025-08-07 04:20:23,investing,Finance,2606.0
1142,How to optimize with dividend investing?,5,how_to,medium,completed,low,7.0,413.0,420.0,0.005,0.00542,2025-08-07 04:20:28.531150,,0,2025-08-07 00:33:34,2025-08-07 04:20:28,investing,Finance,2100.0
1143,Which index funds is the best for budget?,5,best,simple,completed,low,9.0,442.0,451.0,0.005,0.005451,2025-08-07 04:20:34.542593,,0,2025-08-07 00:33:34,2025-08-07 04:20:34,investing,Finance,1826.0
1144,real estate investing reviews and ratings,5,review,simple,completed,low,6.0,371.0,377.0,0.005,0.005377,2025-08-07 04:20:41.345272,,0,2025-08-07 00:33:34,2025-08-07 04:20:41,investing,Finance,1899.0
1145,Ultimate dividend investing tutorial,5,guide,medium,completed,low,5.0,600.0,605.0,0.005,0.005605,2025-08-07 04:20:48.266363,,0,2025-08-07 00:33:34,2025-08-07 04:20:48,investing,Finance,3308.0
1146,dividend investing best practices guide,5,guide,simple,completed,low,6.0,544.0,550.0,0.005,0.00555,2025-08-07 04:20:54.904080,,0,2025-08-07 00:33:34,2025-08-07 04:20:54,investing,Finance,2507.0
1147,Honest review of {service},5,review,simple,completed,low,7.0,217.0,224.0,0.005,0.005224,2025-08-07 04:20:58.808072,,0,2025-08-07 00:33:34,2025-08-07 04:20:58,investing,Finance,1199.0
1148,Difference between dividend investing and real estate investing,5,comparison,complex,completed,low,8.0,437.0,445.0,0.005,0.005445,2025-08-07 04:21:04.652236,,0,2025-08-07 00:33:34,2025-08-07 04:21:04,investing,Finance,2358.0
1149,What are the best real estate investing for enterprise solutions?,5,best,medium,completed,low,11.0,416.0,427.0,0.005,0.005427,2025-08-07 04:21:10.823387,,0,2025-08-07 00:33:34,2025-08-07 04:21:10,investing,Finance,2351.0
1150,How to choose the right growth investing?,5,how_to,complex,completed,low,8.0,570.0,578.0,0.005,0.005578,2025-08-07 04:21:23.413879,,0,2025-08-07 00:33:34,2025-08-07 04:21:23,investing,Finance,2673.0
1151,{product} review: is it worth it?,5,review,medium,completed,low,10.0,358.0,368.0,0.005,0.005368,2025-08-07 04:21:29.189467,,0,2025-08-07 00:33:34,2025-08-07 04:21:29,investing,Finance,1834.0
1152,How to get started with growth investing?,5,how_to,medium,completed,low,8.0,316.0,324.0,0.005,0.005324,2025-08-07 04:21:34.600031,,0,2025-08-07 00:33:34,2025-08-07 04:21:34,investing,Finance,1752.0
1153,Step-by-step index funds guide,5,guide,medium,completed,low,6.0,625.0,631.0,0.005,0.005631,2025-08-07 04:21:44.031976,,0,2025-08-07 00:33:34,2025-08-07 04:21:44,investing,Finance,2770.0
1154,Best growth investing tools for teams,5,best,medium,completed,low,6.0,466.0,472.0,0.005,0.005472,2025-08-07 04:21:50.848979,,0,2025-08-07 00:33:34,2025-08-07 04:21:50,investing,Finance,2453.0
1155,Comparing dividend investing solutions for enterprise solutions,5,comparison,medium,completed,low,8.0,360.0,368.0,0.005,0.005368,2025-08-07 04:21:56.523657,,0,2025-08-07 00:33:34,2025-08-07 04:21:56,investing,Finance,2184.0
1156,{service} pros and cons,5,review,simple,completed,low,6.0,597.0,603.0,0.005,0.005603,2025-08-07 04:22:10.205089,,0,2025-08-07 00:33:34,2025-08-07 04:22:10,investing,Finance,2702.0
1157,{service} pros and cons,5,review,simple,completed,low,6.0,471.0,477.0,0.005,0.005477,2025-08-07 04:22:19.168058,,0,2025-08-07 00:33:34,2025-08-07 04:22:19,investing,Finance,2285.0
1158,How to implement dividend investing strategy?,5,how_to,simple,completed,low,7.0,551.0,558.0,0.005,0.005558,2025-08-07 04:22:28.135884,,0,2025-08-07 00:33:34,2025-08-07 04:22:28,investing,Finance,2599.0
1159,How to choose the right retirement?,5,how_to,simple,completed,low,7.0,406.0,413.0,0.005,0.005413,2025-08-07 04:22:33.903250,,0,2025-08-07 00:33:34,2025-08-07 04:22:33,investing,Finance,2078.0
1160,How to get started with real estate investing?,5,how_to,medium,completed,low,9.0,315.0,324.0,0.005,0.005324,2025-08-07 04:22:39.473775,,0,2025-08-07 00:33:34,2025-08-07 04:22:39,investing,Finance,1640.0
1161,Step-by-step growth investing guide,5,guide,medium,completed,low,6.0,583.0,589.0,0.005,0.005589,2025-08-07 04:22:47.070051,,0,2025-08-07 00:33:34,2025-08-07 04:22:47,investing,Finance,3143.0
1162,How to optimize growth investing for growth?,5,how_to,simple,completed,low,8.0,505.0,513.0,0.005,0.005513,2025-08-07 04:22:55.583959,,0,2025-08-07 00:33:34,2025-08-07 04:22:55,investing,Finance,2797.0
1163,Best dividend investing platforms for small business,5,best,complex,completed,low,7.0,694.0,701.0,0.005,0.005701,2025-08-07 04:23:06.715010,,0,2025-08-07 00:33:34,2025-08-07 04:23:06,investing,Finance,2936.0
1164,User reviews of {platform},5,review,medium,completed,low,6.0,404.0,410.0,0.005,0.00541,2025-08-07 04:23:13.493082,,0,2025-08-07 00:33:34,2025-08-07 04:23:13,investing,Finance,2143.0
1165,Honest review of index funds,5,review,complex,completed,low,6.0,674.0,680.0,0.005,0.00568,2025-08-07 04:23:20.483366,,0,2025-08-07 00:33:34,2025-08-07 04:23:20,investing,Finance,3360.0
1166,How to optimize index funds for growth?,5,how_to,simple,completed,low,8.0,539.0,547.0,0.005,0.005547,2025-08-07 04:23:28.984429,,0,2025-08-07 00:33:34,2025-08-07 04:23:28,investing,Finance,2615.0
1167,Comparing real estate investing solutions for scaling businesses,5,comparison,medium,completed,low,9.0,472.0,481.0,0.005,0.005481,2025-08-07 04:23:34.624644,,0,2025-08-07 00:33:34,2025-08-07 04:23:34,investing,Finance,2901.0
1168,Comprehensive mutual funds resource,5,guide,simple,completed,low,5.0,374.0,379.0,0.005,0.005379,2025-08-07 04:23:40.637290,,0,2025-08-07 00:33:34,2025-08-07 04:23:40,investing,Finance,1834.0
1169,Ultimate index funds tutorial,5,guide,medium,completed,low,5.0,672.0,677.0,0.005,0.005677,2025-08-07 04:23:47.470388,,0,2025-08-07 00:33:34,2025-08-07 04:23:47,investing,Finance,3123.0
1170,How to integrate with real estate investing?,5,how_to,medium,completed,low,8.0,318.0,326.0,0.005,0.005326,2025-08-07 04:23:57.708925,,0,2025-08-07 00:33:34,2025-08-07 04:23:57,investing,Finance,1787.0
1171,How to choose the right index funds?,5,how_to,simple,completed,low,8.0,543.0,551.0,0.005,0.005551,2025-08-07 04:24:07.404830,,0,2025-08-07 00:33:34,2025-08-07 04:24:07,investing,Finance,2364.0
1172,How to strategize with growth investing?,5,how_to,complex,completed,low,8.0,441.0,449.0,0.005,0.005449,2025-08-07 04:24:18.826278,,0,2025-08-07 00:33:34,2025-08-07 04:24:18,investing,Finance,2368.0
1173,Top enterprise dividend investing in 2024,5,best,complex,completed,low,8.0,598.0,606.0,0.005,0.005606,2025-08-07 04:24:28.921974,,0,2025-08-07 00:33:34,2025-08-07 04:24:28,investing,Finance,2796.0
1174,Ultimate real estate investing tutorial,5,guide,simple,completed,low,6.0,457.0,463.0,0.005,0.005463,2025-08-07 04:24:34.851860,,0,2025-08-07 00:33:34,2025-08-07 04:24:34,investing,Finance,2276.0
1175,Step-by-step index funds guide,5,guide,medium,completed,low,6.0,471.0,477.0,0.005,0.005477,2025-08-07 04:24:43.064463,,0,2025-08-07 00:33:34,2025-08-07 04:24:43,investing,Finance,2144.0
1176,Best real estate investing tools for teams,5,best,medium,completed,low,7.0,399.0,406.0,0.005,0.005406,2025-08-07 04:24:51.766943,,0,2025-08-07 00:33:34,2025-08-07 04:24:51,investing,Finance,2070.0
1177,index funds reviews and ratings,5,review,medium,completed,low,5.0,576.0,581.0,0.005,0.005581,2025-08-07 04:25:03.130604,,0,2025-08-07 00:33:34,2025-08-07 04:25:03,investing,Finance,2074.0
1178,User reviews of {platform},5,review,simple,completed,low,6.0,350.0,356.0,0.005,0.005356,2025-08-07 04:25:11.080432,,0,2025-08-07 00:33:34,2025-08-07 04:25:11,investing,Finance,1880.0
1179,retirement or ETF: which to choose?,5,comparison,medium,completed,low,9.0,546.0,555.0,0.005,0.005555,2025-08-07 04:25:17.291212,,0,2025-08-07 00:33:34,2025-08-07 04:25:17,investing,Finance,2863.0
1180,How to optimize ETF for growth?,5,how_to,simple,completed,low,7.0,441.0,448.0,0.005,0.005448,2025-08-07 04:25:27.308811,,0,2025-08-07 00:33:34,2025-08-07 04:25:27,investing,Finance,1892.0
1181,retirement alternatives comparison,5,comparison,simple,completed,low,4.0,499.0,503.0,0.005,0.005503,2025-08-07 04:25:33.838000,,0,2025-08-07 00:33:34,2025-08-07 04:25:33,investing,Finance,2442.0
1182,How to implement growth investing strategy?,5,how_to,medium,completed,low,7.0,412.0,419.0,0.005,0.005419,2025-08-07 04:25:39.485815,,0,2025-08-07 00:33:34,2025-08-07 04:25:39,investing,Finance,2288.0
1183,How to get started with investing?,5,how_to,simple,completed,low,7.0,529.0,536.0,0.005,0.005536,2025-08-07 04:25:47.487546,,0,2025-08-07 00:33:34,2025-08-07 04:25:47,investing,Finance,2402.0
1184,ETF alternatives comparison,5,comparison,simple,completed,low,3.0,629.0,632.0,0.005,0.005632,2025-08-07 04:25:56.867013,,0,2025-08-07 00:33:34,2025-08-07 04:25:56,investing,Finance,2908.0
1185,Difference between {concept_a} and {concept_b},5,comparison,simple,completed,low,11.0,351.0,362.0,0.005,0.005362,2025-08-07 04:26:02.230056,,0,2025-08-07 00:33:34,2025-08-07 04:26:02,investing,Finance,1968.0
1186,User reviews of {platform},5,review,medium,completed,low,6.0,336.0,342.0,0.005,0.005342,2025-08-07 04:26:06.942791,,0,2025-08-07 00:33:34,2025-08-07 04:26:06,investing,Finance,1733.0
1187,{service} pros and cons,5,review,medium,completed,low,6.0,537.0,543.0,0.005,0.005543,2025-08-07 04:26:21.065876,,0,2025-08-07 00:33:34,2025-08-07 04:26:21,investing,Finance,2525.0
1188,Best growth investing platforms for small business,5,best,medium,completed,low,7.0,348.0,355.0,0.005,0.005355,2025-08-07 04:26:26.243564,,0,2025-08-07 00:33:34,2025-08-07 04:26:26,investing,Finance,1905.0
1189,Difference between real estate investing and growth investing,5,comparison,complex,completed,low,8.0,256.0,264.0,0.005,0.005264,2025-08-07 04:26:35.436153,,0,2025-08-07 00:33:34,2025-08-07 04:26:35,investing,Finance,1431.0
1190,What's the best growth investing software?,5,best,medium,completed,low,8.0,273.0,281.0,0.005,0.005281,2025-08-07 04:26:44.789429,,0,2025-08-07 00:33:34,2025-08-07 04:26:44,investing,Finance,1443.0
1191,real estate investing comparison: which is better?,5,comparison,complex,completed,low,9.0,409.0,418.0,0.005,0.005418,2025-08-07 04:26:51.206635,,0,2025-08-07 00:33:34,2025-08-07 04:26:51,investing,Finance,2116.0
1192,Which ETF is the best for enterprise?,5,best,simple,completed,low,8.0,375.0,383.0,0.005,0.005383,2025-08-07 04:26:58.051779,,0,2025-08-07 00:33:34,2025-08-07 04:26:58,investing,Finance,1707.0
1193,User reviews of {platform},5,review,simple,completed,low,6.0,548.0,554.0,0.005,0.005554,2025-08-07 04:27:06.812408,,0,2025-08-07 00:33:34,2025-08-07 04:27:06,investing,Finance,2464.0
1194,portfolio comparison: which is better?,5,comparison,simple,completed,low,7.0,326.0,333.0,0.005,0.005333,2025-08-07 04:27:12.537496,,0,2025-08-07 00:33:34,2025-08-07 04:27:12,investing,Finance,1812.0
1195,Top 20 growth investing in 2024,5,best,medium,completed,low,9.0,352.0,361.0,0.005,0.005361,2025-08-07 04:27:17.162004,,0,2025-08-07 00:33:34,2025-08-07 04:27:17,investing,Finance,1827.0
1196,Comprehensive growth investing resource,5,guide,simple,completed,low,5.0,272.0,277.0,0.005,0.005277,2025-08-07 04:27:21.550847,,0,2025-08-07 00:33:34,2025-08-07 04:27:21,investing,Finance,1684.0
1197,In-depth {product} analysis,5,review,simple,completed,low,6.0,550.0,556.0,0.005,0.005556,2025-08-07 04:27:29.409846,,0,2025-08-07 00:33:34,2025-08-07 04:27:29,investing,Finance,2901.0
1198,How to optimize ETF for success?,5,how_to,simple,completed,low,7.0,492.0,499.0,0.005,0.005499,2025-08-07 04:27:36.107694,,0,2025-08-07 00:33:34,2025-08-07 04:27:36,investing,Finance,2441.0
1199,How to implement portfolio strategy?,5,how_to,simple,completed,low,6.0,312.0,318.0,0.005,0.005318,2025-08-07 04:27:45.601176,,0,2025-08-07 00:33:34,2025-08-07 04:27:45,investing,Finance,1700.0
1200,How does dividend investing work for omnichannel strategy?,5,how_to,complex,completed,low,11.0,492.0,503.0,0.005,0.005503,2025-08-07 04:27:51.881198,,0,2025-08-07 00:33:34,2025-08-07 04:27:51,investing,Finance,2843.0
1201,What's the best growth investing software?,5,best,medium,completed,low,8.0,326.0,334.0,0.005,0.005334,2025-08-07 04:27:56.487248,,0,2025-08-07 00:33:34,2025-08-07 04:27:56,investing,Finance,1789.0
1202,How to choose the right real estate investing?,5,how_to,complex,completed,low,9.0,527.0,536.0,0.005,0.005536,2025-08-07 04:30:04.443511,,0,2025-08-07 00:33:34,2025-08-07 04:30:04,investing,Finance,2551.0
1203,In-depth {product} analysis,5,review,medium,completed,low,6.0,412.0,418.0,0.005,0.005418,2025-08-07 04:30:09.482906,,0,2025-08-07 00:33:34,2025-08-07 04:30:09,investing,Finance,2248.0
1204,Ultimate real estate investing tutorial,5,guide,complex,completed,low,6.0,521.0,527.0,0.005,0.005527,2025-08-07 04:30:16.642764,,0,2025-08-07 00:33:34,2025-08-07 04:30:16,investing,Finance,2632.0
1205,{service} pros and cons,5,review,medium,completed,low,6.0,573.0,579.0,0.005,0.005579,2025-08-07 04:30:25.091857,,0,2025-08-07 00:33:34,2025-08-07 04:30:25,investing,Finance,2750.0
1206,How to automate with index funds?,5,how_to,medium,completed,low,7.0,524.0,531.0,0.005,0.005531,2025-08-07 04:30:33.475487,,0,2025-08-07 00:33:34,2025-08-07 04:30:33,investing,Finance,2657.0
1207,Ultimate portfolio tutorial,5,guide,simple,completed,low,4.0,269.0,273.0,0.005,0.005273,2025-08-07 04:30:38.195172,,0,2025-08-07 00:33:34,2025-08-07 04:30:38,investing,Finance,1450.0
1208,dividend investing review: is it worth it?,5,review,complex,completed,low,10.0,407.0,417.0,0.005,0.005417,2025-08-07 04:30:44.104478,,0,2025-08-07 00:33:34,2025-08-07 04:30:44,investing,Finance,1984.0
1209,Top 5 ETF in 2024,5,best,simple,completed,low,8.0,462.0,470.0,0.005,0.00547,2025-08-07 04:30:50.804528,,0,2025-08-07 00:33:34,2025-08-07 04:30:50,investing,Finance,1721.0
1210,real estate investing pros and cons,5,review,complex,completed,low,6.0,346.0,352.0,0.005,0.005352,2025-08-07 04:31:01.495990,,0,2025-08-07 00:33:34,2025-08-07 04:31:01,investing,Finance,1978.0
1211,Top 12 real estate investing in 2024,5,best,medium,completed,low,10.0,510.0,520.0,0.005,0.00552,2025-08-07 04:31:09.227227,,0,2025-08-07 00:33:34,2025-08-07 04:31:09,investing,Finance,2114.0
1212,growth investing alternatives comparison,5,comparison,medium,completed,low,4.0,513.0,517.0,0.005,0.005517,2025-08-07 04:31:32.414812,,0,2025-08-07 00:33:34,2025-08-07 04:31:32,investing,Finance,2524.0
1213,ETF alternatives comparison,5,comparison,simple,completed,low,3.0,576.0,579.0,0.005,0.005579,2025-08-07 04:31:39.544191,,0,2025-08-07 00:33:34,2025-08-07 04:31:39,investing,Finance,2712.0
1214,User reviews of {platform},5,review,simple,completed,low,6.0,523.0,529.0,0.005,0.005529,2025-08-07 04:31:46.979345,,0,2025-08-07 00:33:34,2025-08-07 04:31:46,investing,Finance,2465.0
1215,Step-by-step dividend investing guide,5,guide,complex,completed,low,6.0,502.0,508.0,0.005,0.005508,2025-08-07 04:32:03.318629,,0,2025-08-07 00:33:34,2025-08-07 04:32:03,investing,Finance,2252.0
1216,{service_a} or {service_b}: which to choose?,5,comparison,simple,completed,low,13.0,167.0,180.0,0.005,0.00518,2025-08-07 04:32:07.170669,,0,2025-08-07 00:33:34,2025-08-07 04:32:07,investing,Finance,841.0
1217,Ultimate growth investing tutorial,5,guide,simple,completed,low,5.0,633.0,638.0,0.005,0.005638,2025-08-07 04:32:17.347765,,0,2025-08-07 00:33:34,2025-08-07 04:32:17,investing,Finance,3199.0
1218,{service_a} or {service_b}: which to choose?,5,comparison,simple,completed,low,13.0,308.0,321.0,0.005,0.005321,2025-08-07 04:32:23.399224,,0,2025-08-07 00:33:34,2025-08-07 04:32:23,investing,Finance,1479.0
1219,Top 10 investment in 2024,5,best,simple,completed,low,8.0,440.0,448.0,0.005,0.005448,2025-08-07 04:32:28.652427,,0,2025-08-07 00:33:34,2025-08-07 04:32:28,investing,Finance,2000.0
1220,In-depth {product} analysis,5,review,medium,completed,low,6.0,661.0,667.0,0.005,0.005667,2025-08-07 04:32:39.699093,,0,2025-08-07 00:33:34,2025-08-07 04:32:39,investing,Finance,3312.0
1221,In-depth {product} analysis,5,review,medium,completed,low,6.0,569.0,575.0,0.005,0.005575,2025-08-07 04:32:46.809876,,0,2025-08-07 00:33:34,2025-08-07 04:32:46,investing,Finance,3082.0
1222,Complete guide to real estate investing,5,guide,medium,completed,low,6.0,533.0,539.0,0.005,0.005539,2025-08-07 04:32:52.925987,,0,2025-08-07 00:33:34,2025-08-07 04:32:52,investing,Finance,2759.0
1223,In-depth {product} analysis,5,review,medium,completed,low,6.0,523.0,529.0,0.005,0.005529,2025-08-07 04:33:00.643999,,0,2025-08-07 00:33:34,2025-08-07 04:33:00,investing,Finance,2570.0
1224,dividend investing guide for beginners,5,guide,simple,completed,low,6.0,300.0,306.0,0.005,0.005306,2025-08-07 04:33:05.782467,,0,2025-08-07 00:33:34,2025-08-07 04:33:05,investing,Finance,1654.0
